nombre-comun,nombre-cientifico,region,habitat,medida
"""Carpintero Negro""","""Campephilus magellanicus""","""Entre la Región del Maule y la Región de Magallanes""",cordillera,"""36 - 45 cm."""
"""Golondrina Bermeja""","""Hirundo rustica""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",pradera,"""17 - 19 cm."""
"""Picaflor de Arica""","""Eulidia yarrellii""","""En la Región de Arica y Parinacota""",pradera,"""7 - 8 cm."""
"""Perdiz copetona / Martineta""","""Eudromia elegans""","""En la Región de Aysén""",pastizales,"""37 - 41 cm."""
"""Becasina grande""","""Gallinago stricklandii""","""En la Región de Magallanes""",arbustos,"""29 - 35 cm."""
"""Chorlo de Magallanes""","""Pluvianellus socialis""","""En la Región de Magallanes""",costa,"""19 - 21 cm."""
"""Picaflor de Juan Fernández""","""Sephanoides fernandensis""","""En la Región de Valparaíso""",bosque,"""11 - 13 cm."""
"""Playero de las Rompientes""","""Aphriza virgata""","""Entre la Región de Antofagasta y la Región de Los Lagos.""",costa,"""23 - 25 cm."""
"""Tortolita cuyana""","""Columbina picui""","""Entre la Región de Antofagasta y la Región de Los Ríos""",costa y pradera,"""18 cm."""
"""Dormilona de Ceja Blanca""","""Muscisaxicola albilora""","""Entre la Región de Antofagasta y la Región de Magallanes""",costa y pradera,"""16 - 18 cm."""
"""Gaviotín Chico""","""Sternula lorata""","""Entre la Región de Arica y Parinacota y la Región de Antofagasta""",costa,"""22 - 24 cm."""
"""Saca-tu-real""","""Pyrocephalus rubinus""","""Entre la Región de Arica y Parinacota y la Región de Antofagasta""",arbustos,"""13 - 15 cm."""
"""Parina Chica""","""Phoenicoparrus jamesi""","""Entre la Región de Arica y Parinacota y la Región de Atacama""",costa,"""90 - 92 cm."""
"""Águila Pescadora""","""Pandion haliaetus""","""Entre la Región de Arica y Parinacota y la Región de Los Lagos""",costa,"""55 - 58 cm."""
"""Gaviotín Elegante""","""Sterna elegans""","""Entre la Región de Arica y Parinacota y la Región de Los Lagos""",costa,"""39 - 43 cm."""
"""Pingüino de Humboldt""","""Spheniscus humboldti""","""Entre la Región de Arica y Parinacota y la Región de Los Lagos""",costa,"""65 - 70 cm."""
"""Chorlo Ártico""","""Pluvialis squatarola""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""27 - 31 cm."""
"""Chorlo de Campo""","""Oreopholus ruficollis""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",pradera,"""25 - 29 cm."""
"""Flamenco Chileno""","""Phoenicopterus chilensis""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""100 - 105 cm."""
"""Gaviotín Piquerito""","""Sterna trudeaui""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""32 - 35 cm."""
"""Gaviotín Sudamericano""","""Sterna hirundinacea""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""41 - 43 cm."""
"""Golondrina de Dorso Negro""","""Pygochelidon cyanoleuca""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",pradera,"""12 - 13 cm."""
"""Golondrina de Mar""","""Oceanites oceanicus""","""Entre la Región de Arica y Parinacota y la Región de Magallanes""",costa,"""15 - 20 cm."""
